1,21,179,1
2,8,150,1
1,39,135,2
1,4,350,2
1,13,120,1
2,20,71,1
1,21,349,1
1,21,349,1
1,17,165,2
1,21,249,1
1,33,100,1
1,33,200,2
2,20,169,2
1,7,185,2
1,22,65,2
1,14,130,2
1,13,199,2
2,20,225,2
1,21,179,1
1,16,150,2
2,20,139,2
2,61,95,1
1,16,79,2
2,24,150,2
1,4,650,2
1,7,90,2
1,7,120,2
3,57,80,1
1,16,100,2
1,7,175,2
1,16,120,2
1,13,140,2
1,7,200,2
1,4,165,1
2,27,125,2
2,15,130,2
2,5,65,3
1,14,123,2
2,31,67,1
3,62,50,1
1,35,130,2
1,13,100,1
2,9,212,2
1,13,190,2
1,21,599,1
2,20,249,2
3,63,70,1
1,16,100,2
